Trial #              h                    Omega_b              Omega_cdm            A_s                  n_s                  Omega_k              M_nu                 w_0                  w_a                 
00081                0.698                0.03891              0.2905               1.675e-09            0.9441               -0.067               0.7697               -1.0325              0.85                
00082                0.882                0.05081              0.3115               1.665e-09            0.9597               0.035                0.3091               -0.7925              0.77                
00083                0.826                0.03279              0.3205               2.355e-09            0.9873               -0.093               0.7133               -1.2275              -0.61               
00084                0.506                0.02327              0.1135               1.765e-09            0.9603               0.079                0.1305               -0.9125              -0.71               
00085                0.874                0.04129              0.3895               1.585e-09            0.9369               0.055                0.4031               -1.3775              -0.13               
00086                0.722                0.04197              0.3415               2.435e-09            0.9417               0.095                0.4219               -1.1075              0.03                
00087                0.782                0.03415              0.3055               2.195e-09            0.9813               -0.023               0.8731               -1.0175              -0.49               
00088                0.878                0.01919              0.1735               2.325e-09            0.9687               -0.081               0.5535               -0.8225              -0.85               
00089                0.542                0.02089              0.2995               1.995e-09            0.9777               0.087                0.9389               -1.4975              0.37                
00090                0.81                 0.02803              0.3805               2.215e-09            0.9735               0.009                0.1493               -0.5825              -0.21               
00091                0.71                 0.02871              0.2965               1.805e-09            0.9699               0.023                0.2903               -1.5275              0.07                
00092                0.746                0.02565              0.2815               1.835e-09            0.9339               -0.041               0.2527               -1.9775              0.99                
00093                0.822                0.02939              0.3715               2.065e-09            0.9525               -0.031               0.6005               -1.0025              0.89                
00094                0.75                 0.03177              0.2935               2.365e-09            0.9759               0.015                0.9671               -0.5225              0.69                
00095                0.618                0.03347              0.2005               2.105e-09            0.9897               -0.001               0.2433               -1.2875              0.87                
00096                0.666                0.02021              0.1675               1.755e-09            0.9885               0.085                0.4595               -1.8125              -0.35               
00097                0.522                0.02463              0.3925               2.375e-09            0.9489               -0.005               0.5817               -1.2125              -0.55               
00098                0.742                0.01987              0.3325               1.855e-09            0.9849               0.067                0.1681               -1.7825              -0.81               
00099                0.538                0.02395              0.2365               1.725e-09            0.9375               0.019                0.5253               -0.7625              0.33                
