Trial #              h                    Omega_b              Omega_cdm            A_s                  n_s                  Omega_k              M_nu                 w_0                  w_a                 
00036                0.642                0.03985              0.3457               1.805e-09            0.9519               -0.053               0.2245               -1.9625              0.49                
00037                0.726                0.02995              0.2469               2.235e-09            0.9315               -0.027               0.5723               -1.9325              -0.47               
00038                0.558                0.02125              0.1559               2.305e-09            0.9807               -0.037               0.8637               -0.7775              0.83                
00039                0.754                0.02485              0.3353               2.395e-09            0.9855               0.051                0.7697               -1.0025              -0.71               
00040                0.71                 0.03295              0.2105               2.045e-09            0.9531               0.017                0.7039               -1.3625              -0.37               
00041                0.85                 0.03415              0.1611               2.035e-09            0.9369               -0.077               0.8167               -1.4675              0.63                
00042                0.778                0.02335              0.2885               2.055e-09            0.9849               -0.079               0.2057               -0.8975              0.05                
00043                0.734                0.01885              0.3171               2.145e-09            0.9585               0.065                0.7133               -1.1825              -0.41               
00044                0.706                0.02455              0.1585               2.375e-09            0.9627               0.003                0.5441               -1.5275              0.81                
00045                0.61                 0.01405              0.1351               1.835e-09            0.9597               0.067                0.1399               -1.9775              0.37                
00046                0.622                0.03445              0.3587               2.325e-09            0.9615               -0.011               0.2151               -0.6725              -0.65               
00047                0.522                0.02875              0.2651               1.545e-09            0.9831               -0.049               0.9483               -0.7925              0.41                
00048                0.562                0.03565              0.2963               1.875e-09            0.9447               -0.059               0.4031               -1.0925              0.51                
00049                0.79                 0.01585              0.2807               2.215e-09            0.9483               -0.043               0.1587               -0.5825              0.13                
00050                0.678                0.02665              0.2365               1.945e-09            0.9837               0.033                0.4971               -1.0625              -0.15               
00051                0.63                 0.01495              0.3327               1.735e-09            0.9747               -0.081               0.8449               -1.2125              0.03                
00052                0.702                0.02605              0.2911               1.645e-09            0.9735               -0.057               0.1963               -1.2275              0.79                
00053                0.75                 0.02575              0.2677               2.245e-09            0.9303               0.013                0.5535               -1.4525              -0.21               
00054                0.786                0.02305              0.3431               1.665e-09            0.9897               -0.029               0.6287               -1.0175              0.87                
00055                0.634                0.01165              0.1429               1.575e-09            0.9711               -0.061               0.7979               -0.9875              0.99                
00056                0.578                0.03715              0.3301               2.155e-09            0.9471               0.049                0.3185               -0.9125              -0.55               
00057                0.57                 0.02935              0.2053               1.525e-09            0.9639               0.041                0.1681               -0.5075              0.01                
00058                0.854                0.03385              0.2209               2.025e-09            0.9765               -0.065               0.3655               -1.6475              0.47                
00059                0.81                 0.03325              0.2547               1.655e-09            0.9351               0.029                0.7885               -1.8875              -0.69               
00060                0.894                0.01435              0.2989               2.065e-09            0.9543               -0.091               0.3843               -0.8375              -0.27               
00061                0.87                 0.03175              0.1039               2.295e-09            0.9363               -0.075               0.1493               -0.5525              -0.17               
00062                0.874                0.03055              0.3223               1.725e-09            0.9507               -0.063               0.9859               -1.4375              -0.85               
00063                0.694                0.01735              0.1715               1.565e-09            0.9333               -0.035               0.2433               -1.8575              0.07                
00064                0.626                0.03115              0.3067               2.355e-09            0.9375               -0.033               0.7791               -1.1375              -0.53               
00065                0.806                0.03145              0.1949               2.345e-09            0.9669               -0.023               0.8543               -1.4975              -0.33               
00066                0.546                0.01075              0.3535               2.255e-09            0.9435               -0.051               0.8919               -0.7475              0.91                
00067                0.51                 0.02845              0.1923               2.135e-09            0.9651               0.005                0.1775               -1.7675              -0.51               
00068                0.802                0.01615              0.2079               2.205e-09            0.9477               0.057                0.1305               -0.5975              0.73                
00069                0.638                0.01465              0.1819               2.095e-09            0.9663               -0.039               0.4219               -1.7825              0.11                
00070                0.654                0.03955              0.1637               1.775e-09            0.9723               0.075                0.9953               -0.7175              -0.83               
00071                0.542                0.03745              0.3093               2.275e-09            0.9753               -0.055               0.6663               -1.6625              -0.81               
00072                0.646                0.03235              0.1143               1.855e-09            0.9879               0.047                0.3937               -1.5125              -0.25               
00073                0.826                0.01975              0.2417               1.905e-09            0.9453               0.091                0.7509               -1.6325              0.75                
00074                0.538                0.01255              0.3379               1.955e-09            0.9501               0.063                0.2621               -1.3325              0.95                
00075                0.534                0.01315              0.1273               1.845e-09            0.9345               0.093                0.2903               -1.1975              -0.05               
00076                0.674                0.01345              0.1169               1.695e-09            0.9771               0.059                0.7321               -1.1225              0.55                
00077                0.758                0.03805              0.2131               2.495e-09            0.9681               0.087                0.8731               -1.2725              0.43                
00078                0.586                0.03505              0.1091               2.475e-09            0.9777               -0.069               0.6851               -1.5875              -0.67               
00079                0.506                0.02425              0.2391               1.825e-09            0.9885               -0.009               0.6757               -0.9725              -0.01               
00080                0.746                0.02965              0.3405               2.195e-09            0.9423               0.077                0.4877               -1.3925              0.25                
00081                0.77                 0.03025              0.1195               1.795e-09            0.9327               0.021                0.7415               -1.5725              0.53                
00082                0.502                0.02695              0.2755               2.285e-09            0.9633               -0.093               0.7227               -1.3175              0.45                
00083                0.662                0.01915              0.2339               1.895e-09            0.9741               -0.015               0.6381               -1.8275              0.17                
00084                0.73                 0.02635              0.2183               2.385e-09            0.9381               -0.007               0.0741               -1.7075              -0.03               
00085                0.594                0.03535              0.1897               2.485e-09            0.9567               0.071                0.0835               -0.5225              0.15                
00086                0.714                0.02155              0.1299               2.005e-09            0.9813               0.001                0.4783               -1.9925              -0.39               
00087                0.718                0.03895              0.2157               1.865e-09            0.9699               0.085                0.9013               -0.9575              -0.13               
00088                0.618                0.01525              0.2443               1.605e-09            0.9387               0.055                0.9765               -1.6025              0.69                
00089                0.598                0.03085              0.1663               1.765e-09            0.9411               -0.073               0.9201               -1.8425              -0.89               
00090                0.686                0.02185              0.2781               2.265e-09            0.9537               0.015                0.5629               -0.8675              0.77                
00091                0.526                0.02545              0.3015               2.175e-09            0.9687               -0.041               0.6193               -1.1075              -0.91               
00092                0.818                0.02035              0.2625               1.935e-09            0.9621               -0.047               0.1117               -1.4075              -0.97               
00093                0.574                0.01195              0.3041               1.585e-09            0.9861               0.043                0.6005               -1.0775              -0.75               
00094                0.514                0.03625              0.2495               2.335e-09            0.9795               0.011                0.3279               -1.0475              0.59                
00095                0.886                0.03775              0.1507               2.125e-09            0.9843               -0.095               0.3749               -1.4825              0.19                
00096                0.898                0.02245              0.1403               2.445e-09            0.9441               -0.001               0.3373               -0.7325              0.57                
00097                0.59                 0.01945              0.1013               1.675e-09            0.9459               -0.005               0.5253               -0.8225              0.65                
00098                0.89                 0.01705              0.1767               1.715e-09            0.9675               0.019                0.3467               -1.2575              0.67                
00099                0.822                0.01225              0.1793               2.455e-09            0.9549               -0.019               0.1869               -0.6875              -0.07               
